gpsData.latitude,gpsData.longitude,presentTs
31.911933,118.892666,1529564822
32.095183,118.51,1529569377
32.094733,118.510183,1529570142
32.09505,118.510166,1529570897
32.095516,118.51,1529571652
32.096083,118.50985,1529572412
32.096933,118.5107,1529573164
32.097266,118.5097,1529573907
32.09945,118.510566,1529574599
32.099366,118.510483,1529575292
32.0993,118.510466,1529576030
32.099333,118.510533,1529576781
32.099483,118.510516,1529577530
32.099316,118.510566,1529578294
32.09945,118.510433,1529579043
32.09935,118.510566,1529579793
32.1022,118.508916,1529580537
32.099383,118.510583,1529581227
32.0994,118.510483,1529581983
32.099383,118.51055,1529582740
32.099283,118.510583,1529583487
32.0995,118.51035,1529584189
32.099366,118.510516,1529584949
32.099216,118.510366,1529585692
32.099216,118.51045,1529586399
32.099366,118.51065,1529587086
32.099333,118.510633,1529587774
32.099383,118.5106,1529588522
32.099283,118.5107,1529589221
32.099383,118.510466,1529589980
32.0993,118.5107,1529590738
32.099333,118.510633,1529591493
32.09745,118.50625,1529592184
32.099433,118.510566,1529592884
32.0994,118.51055,1529593633
32.099416,118.510583,1529594385
32.099416,118.510533,1529595133
32.099466,118.510616,1529595876
32.0995,118.5106,1529596601
32.09945,118.510616,1529597363
32.09805,118.501033,1529598068
32.09955,118.50995,1529598816
32.09955,118.510633,1529599573
32.10565,118.50465,1529600279
32.0993,118.5106,1529600969
32.09935,118.5106,1529601668
32.106533,118.50465,1529602366
32.099366,118.51055,1529603056
32.09935,118.510616,1529603752
32.097383,118.508566,1529604501
32.09745,118.51195,1529605193
32.099383,118.510516,1529605903
32.099333,118.51045,1529606588
32.099516,118.510583,1529607276
32.09935,118.510466,1529607977
32.104566,118.500633,1529608675
32.099333,118.510533,1529609368
32.099366,118.510566,1529610121
32.099516,118.510433,1529610872
32.09925,118.510766,1529611620
32.099516,118.510383,1529612374
32.099366,118.510533,1529613123
32.099266,118.510616,1529613815
32.09935,118.5103,1529614551
32.099333,118.510566,1529615252
32.0994,118.510433,1529615977
32.099316,118.510333,1529616671
32.099333,118.51055,1529617381
32.0994,118.510633,1529618121
32.099366,118.51055,1529618878
32.099383,118.510633,1529619583
32.099183,118.510383,1529620323
32.099233,118.51065,1529621024
32.099333,118.5105,1529621772
32.099383,118.510583,1529622523
32.1022,118.507583,1529623217
32.09935,118.510566,1529623905
32.099383,118.51055,1529624661
32.099383,118.510566,1529625418
32.099416,118.510533,1529626180
32.099416,118.51055,1529626918
32.099333,118.510566,1529627640
32.099383,118.510533,1529628363
