00-01-01 00:00:02 --- one package
00-01-01 00:00:03 ---   176   -82  7619
00-01-01 00:00:03 ---   366  -275  7431
00-01-01 00:00:03 ---   262  -591  7413
00-01-01 00:00:03 ---   -41  -862  7619
00-01-01 00:00:03 ---  -437  -858  7954
00-01-01 00:00:03 ---  -794  -584  8273
00-01-01 00:00:03 ---  -950  -206  8495
00-01-01 00:00:03 ---  -939    75  8649
00-01-01 00:00:03 ---  -825    84  8810
00-01-01 00:00:03 ---  -700  -174  8952
00-01-01 00:00:03 ---  -720  -458  9044
00-01-01 00:00:03 ---  -779  -646  8972
00-01-01 00:00:03 ---  -798  -565  8769
00-01-01 00:00:03 ---  -652  -265  8391
00-01-01 00:00:03 ---  -373    64  7951
00-01-01 00:00:03 ---   -28   205  7561
00-01-01 00:00:03 ---   185     9  7294
00-01-01 00:00:03 ---   205  -430  7275
00-01-01 00:00:03 ---    24  -966  7487
00-01-01 00:00:03 ---  -367 -1245  7818
00-01-01 00:00:03 ---  -749 -1064  8166
00-01-01 00:00:03 --- -1024  -538  8432
00-01-01 00:00:03 --- -1161   165  8610
00-01-01 00:00:03 --- -1119   691  8789
00-01-01 00:00:03 ---  -995   748  8980
00-01-01 00:00:03 ---  -873   306  9139
00-01-01 00:00:03 ---  -797  -426  9200
00-01-01 00:00:03 ---  -778 -1056  9025
00-01-01 00:00:03 ---  -781 -1265  8658
00-01-01 00:00:03 ---  -731  -907  8168
00-01-01 00:00:03 ---  -494  -205  7706
00-01-01 00:00:03 ---  -103   431  7407
00-01-01 00:00:03 ---   315   641  7319
00-01-01 00:00:03 ---   537   334  7443
00-01-01 00:00:03 ---   420  -363  7658
00-01-01 00:00:03 ---   -17 -1044  7877
00-01-01 00:00:03 ---  -623 -1331  8069
00-01-01 00:00:03 --- -1126 -1111  8224
00-01-01 00:00:03 --- -1410  -432  8435
00-01-01 00:00:03 --- -1400   353  8788
00-01-01 00:00:03 --- -1159   824  9119
00-01-01 00:00:03 ---  -899   800  9313
00-01-01 00:00:03 ---  -773   284  9231
00-01-01 00:00:03 ---  -806  -433  8867
00-01-01 00:00:03 ---  -922  -959  8436
00-01-01 00:00:03 ---  -945 -1105  8091
00-01-01 00:00:03 ---  -746  -858  7871
00-01-01 00:00:03 ---  -358  -424  7720
00-01-01 00:00:03 ---    54  -118  7542
00-01-01 00:00:03 ---   328   -97  7460
00-01-01 00:00:03 ---   348  -321  7568
00-01-01 00:00:03 ---   102  -660  7886
00-01-01 00:00:03 ---  -320  -837  8309
00-01-01 00:00:03 ---  -781  -719  8650
00-01-01 00:00:03 --- -1070  -387  8793
00-01-01 00:00:03 --- -1129     1  8801
00-01-01 00:00:03 ---  -997   232  8780
00-01-01 00:00:03 ---  -787   171  8784
00-01-01 00:00:03 ---  -681   -52  8810
00-01-01 00:00:03 ---  -659  -349  8736
00-01-01 00:00:03 ---  -661  -522  8529
00-01-01 00:00:03 ---  -568  -471  8173
00-01-01 00:00:03 ---  -392  -259  7746
00-01-01 00:00:03 ---  -133   -47  7396
00-01-01 00:00:03 ---    39   -38  7189
00-01-01 00:00:03 ---    88  -249  7511
00-01-01 00:00:03 ---    11  -682  7959
00-01-01 00:00:03 ---  -297 -1012  8407
00-01-01 00:00:03 ---  -634 -1002  8723
00-01-01 00:00:03 ---  -940  -156  8901
00-01-01 00:00:03 --- -1159   444  8992
00-01-01 00:00:03 --- -1161   745  9030
