00-01-01 00:00:02 --- one package
00-01-01 00:00:03 ---  -510  -136  8267
00-01-01 00:00:03 ---  -504  -134  8258
00-01-01 00:00:03 ---  -503  -134  8250
00-01-01 00:00:03 ---  -495  -132  8256
00-01-01 00:00:03 ---  -485  -127  8262
00-01-01 00:00:03 ---  -490  -125  8274
00-01-01 00:00:03 ---  -486  -120  8267
00-01-01 00:00:03 ---  -491  -117  8280
00-01-01 00:00:03 ---  -495  -111  8270
00-01-01 00:00:03 ---  -499  -107  8267
00-01-01 00:00:03 ---  -504  -109  8267
00-01-01 00:00:03 ---  -513  -104  8258
00-01-01 00:00:03 ---  -517  -102  8266
00-01-01 00:00:03 ---  -525   -97  8270
00-01-01 00:00:03 ---  -525   -94  8279
00-01-01 00:00:03 ---  -527   -93  8288
00-01-01 00:00:03 ---  -520   -94  8292
00-01-01 00:00:03 ---  -513   -92  8288
00-01-01 00:00:03 ---  -505   -96  8286
00-01-01 00:00:03 ---  -505   -95  8282
00-01-01 00:00:03 ---  -514   -96  8275
00-01-01 00:00:03 ---  -520   -97  8271
00-01-01 00:00:03 ---  -523   -98  8264
00-01-01 00:00:03 ---  -528  -102  8259
00-01-01 00:00:03 ---  -527  -106  8257
00-01-01 00:00:03 ---  -539  -110  8252
00-01-01 00:00:03 ---  -545  -110  8254
00-01-01 00:00:03 ---  -552  -109  8254
00-01-01 00:00:03 ---  -548  -108  8262
00-01-01 00:00:03 ---  -546  -106  8265
00-01-01 00:00:03 ---  -543  -104  8278
00-01-01 00:00:03 ---  -540  -105  8274
00-01-01 00:00:03 ---  -536  -108  8263
00-01-01 00:00:03 ---  -533  -110  8253
00-01-01 00:00:03 ---  -528  -116  8246
00-01-01 00:00:03 ---  -531  -114  8250
00-01-01 00:00:03 ---  -537  -121  8261
00-01-01 00:00:03 ---  -537  -118  8264
00-01-01 00:00:03 ---  -541  -122  8264
00-01-01 00:00:03 ---  -543  -120  8258
00-01-01 00:00:03 ---  -545  -124  8249
00-01-01 00:00:03 ---  -547  -124  8254
00-01-01 00:00:03 ---  -551  -123  8256
00-01-01 00:00:03 ---  -557  -122  8252
00-01-01 00:00:03 ---  -568  -120  8253
00-01-01 00:00:03 ---  -546  -117  8212
00-01-01 00:00:03 ---  -563  -124  8240
00-01-01 00:00:03 ---  -547  -127  8252
00-01-01 00:00:03 ---  -540  -132  8283
00-01-01 00:00:03 ---  -558  -143  8311
00-01-01 00:00:03 ---  -551  -141  8303
00-01-01 00:00:03 ---  -550  -141  8268
00-01-01 00:00:03 ---  -564  -132  8269
00-01-01 00:00:03 ---  -561  -128  8260
